"","Hour","am_pm","Date","KWH","usage","weekday"
"103",4,"AM",2014-05-03,0.23,"kwh","Saturday"
"104",1,"PM",2014-03-07,0.285,"kwh","Friday"
"105",8,"AM",2014-10-02,0.192,"kwh","Thursday"
"106",6,"AM",2014-08-30,0.998,"kwh","Saturday"
"107",3,"AM",2014-12-17,0.209,"kwh","Wednesday"
"108",3,"AM",2014-09-09,0.157,"kwh","Tuesday"
"109",11,"AM",2014-12-24,0.578,"kwh","Wednesday"
"110",8,"PM",2014-04-17,0.418,"kwh","Thursday"
"111",2,"PM",2014-06-05,0.59,"kwh","Thursday"
"112",2,"PM",2014-10-05,0.504,"kwh","Sunday"
"113",5,"AM",2014-01-15,2.574,"kwh","Wednesday"
"114",11,"AM",2014-10-15,0.351,"kwh","Wednesday"
"115",5,"AM",2014-09-19,0.924,"kwh","Friday"
"116",9,"AM",2014-12-24,0.37,"kwh","Wednesday"
"117",4,"PM",2014-04-08,0.144,"kwh","Tuesday"
"118",2,"PM",2014-08-20,0.576,"kwh","Wednesday"
"119",7,"PM",2014-04-01,0.562,"kwh","Tuesday"
"120",12,"AM",2014-04-26,0.194,"kwh","Saturday"
"121",5,"AM",2014-08-07,1.386,"kwh","Thursday"
"122",8,"AM",2014-07-20,2.558,"kwh","Sunday"
"123",2,"AM",2014-09-09,0.158,"kwh","Tuesday"
"124",9,"AM",2014-05-23,0.209,"kwh","Friday"
"125",11,"AM",2014-11-05,0.252,"kwh","Wednesday"
"126",9,"AM",2014-09-22,0.174,"kwh","Monday"
"127",2,"PM",2014-01-08,0.728,"kwh","Wednesday"
"128",12,"PM",2014-03-21,0.416,"kwh","Friday"
"129",10,"AM",2014-12-30,0.431,"kwh","Tuesday"
"130",1,"PM",2014-03-12,0.294,"kwh","Wednesday"
"131",3,"AM",2014-11-16,0.122,"kwh","Sunday"
"132",6,"AM",2014-11-15,0.367,"kwh","Saturday"
"133",4,"AM",2014-05-02,0.154,"kwh","Friday"
"134",6,"AM",2014-05-08,0.797,"kwh","Thursday"
"135",1,"PM",2014-10-08,0.223,"kwh","Wednesday"
"136",11,"PM",2014-05-25,0.372,"kwh","Sunday"
"137",7,"PM",2014-11-18,0.778,"kwh","Tuesday"
"138",12,"PM",2014-02-26,0.702,"kwh","Wednesday"
