"","Hour","am_pm","Date","KWH","usage","weekday"
"1544",12,"PM",2014-01-14,1.08,"kwh","Tuesday"
"1545",4,"PM",2014-10-15,0.216,"kwh","Wednesday"
"1546",3,"PM",2014-07-25,1.133,"kwh","Friday"
"1547",6,"PM",2014-11-20,0.737,"kwh","Thursday"
"1548",7,"AM",2014-09-04,0.548,"kwh","Thursday"
"1549",5,"AM",2014-06-16,2,"kwh","Monday"
"1550",9,"PM",2014-06-26,1.123,"kwh","Thursday"
"1551",4,"PM",2014-02-03,0.442,"kwh","Monday"
"1552",8,"PM",2014-06-20,3.37,"kwh","Friday"
"1553",4,"AM",2014-04-02,0.052,"kwh","Wednesday"
"1554",8,"PM",2014-01-23,3.296,"kwh","Thursday"
"1555",2,"AM",2014-11-18,0.075,"kwh","Tuesday"
"1556",10,"AM",2014-01-02,0.848,"kwh","Thursday"
"1557",7,"AM",2014-08-24,1.512,"kwh","Sunday"
"1558",6,"AM",2014-06-13,1.771,"kwh","Friday"
"1559",3,"AM",2014-02-25,0.197,"kwh","Tuesday"
"1560",9,"AM",2014-01-14,0.588,"kwh","Tuesday"
"1561",10,"PM",2014-07-28,1.212,"kwh","Monday"
"1562",7,"PM",2014-04-08,0.54,"kwh","Tuesday"
"1563",3,"PM",2014-03-01,0.842,"kwh","Saturday"
"1564",8,"AM",2014-01-07,0.912,"kwh","Tuesday"
"1565",5,"PM",2014-07-13,1.901,"kwh","Sunday"
"1566",5,"AM",2014-02-19,1.505,"kwh","Wednesday"
"1567",7,"AM",2014-05-16,0.691,"kwh","Friday"
"1568",12,"AM",2014-07-05,2.054,"kwh","Saturday"
"1569",7,"PM",2014-11-30,0.802,"kwh","Sunday"
"1570",9,"PM",2014-05-10,0.342,"kwh","Saturday"
"1571",12,"PM",2014-07-12,1.339,"kwh","Saturday"
"1572",12,"PM",2014-07-20,1.397,"kwh","Sunday"
"1573",12,"PM",2014-05-23,0.34,"kwh","Friday"
"1574",9,"AM",2014-12-03,0.297,"kwh","Wednesday"
"1575",2,"AM",2014-06-01,0.502,"kwh","Sunday"
"1576",12,"AM",2014-04-24,0.095,"kwh","Thursday"
"1577",1,"PM",2014-07-19,1.512,"kwh","Saturday"
"1578",3,"AM",2014-11-02,0.116,"kwh","Sunday"
"1579",9,"AM",2014-07-28,0.828,"kwh","Monday"
"1580",4,"PM",2014-08-11,0.422,"kwh","Monday"
"1581",3,"AM",2014-06-20,0.4,"kwh","Friday"
"1582",10,"PM",2014-08-12,0.708,"kwh","Tuesday"
"1583",6,"AM",2014-01-04,1.696,"kwh","Saturday"
"1584",6,"AM",2014-01-23,2.832,"kwh","Thursday"
"1585",11,"AM",2014-03-15,0.432,"kwh","Saturday"
"1586",1,"PM",2014-06-21,1.037,"kwh","Saturday"
"1587",10,"PM",2014-04-11,0.235,"kwh","Friday"
"1588",10,"AM",2014-01-03,0.816,"kwh","Friday"
"1589",10,"PM",2014-06-22,1.062,"kwh","Sunday"
"1590",11,"PM",2014-10-15,0.327,"kwh","Wednesday"
"1591",6,"PM",2014-06-12,2.797,"kwh","Thursday"
"1592",11,"PM",2014-10-20,0.339,"kwh","Monday"
"1593",10,"AM",2014-03-23,0.48,"kwh","Sunday"
"1594",7,"AM",2014-09-08,0.561,"kwh","Monday"
"1595",1,"AM",2014-08-13,0.218,"kwh","Wednesday"
"1596",3,"AM",2014-12-08,0.202,"kwh","Monday"
"1597",3,"PM",2014-09-26,0.227,"kwh","Friday"
"1598",12,"AM",2014-10-13,0.167,"kwh","Monday"
"1599",10,"PM",2014-08-16,0.514,"kwh","Saturday"
"1600",5,"PM",2014-05-29,1.196,"kwh","Thursday"
"1601",11,"PM",2014-03-20,0.324,"kwh","Thursday"
"1602",10,"AM",2014-06-26,0.792,"kwh","Thursday"
"1603",10,"AM",2014-08-11,0.552,"kwh","Monday"
"1604",9,"AM",2014-02-22,1.004,"kwh","Saturday"
"1605",3,"AM",2014-01-20,0.476,"kwh","Monday"
"1606",9,"AM",2014-04-27,0.235,"kwh","Sunday"
"1607",3,"AM",2014-06-03,0.346,"kwh","Tuesday"
"1608",8,"PM",2014-09-30,0.963,"kwh","Tuesday"
"1609",11,"AM",2014-05-23,0.32,"kwh","Friday"
"1610",8,"AM",2014-06-16,0.583,"kwh","Monday"
"1611",6,"PM",2014-07-17,3.696,"kwh","Thursday"
"1612",11,"AM",2014-04-19,0.191,"kwh","Saturday"
"1613",1,"AM",2014-10-01,0.103,"kwh","Wednesday"
"1614",1,"PM",2014-12-14,0.785,"kwh","Sunday"
"1615",6,"AM",2014-07-19,2.189,"kwh","Saturday"
"1616",6,"AM",2014-01-05,1.36,"kwh","Sunday"
"1617",1,"AM",2014-11-10,0.077,"kwh","Monday"
"1618",10,"PM",2014-04-19,0.138,"kwh","Saturday"
"1619",1,"AM",2014-06-16,0.396,"kwh","Monday"
"1620",1,"AM",2014-04-10,0.064,"kwh","Thursday"
"1621",12,"PM",2014-12-27,0.706,"kwh","Saturday"
"1622",2,"PM",2014-02-20,0.533,"kwh","Thursday"
"1623",3,"AM",2014-03-14,0.181,"kwh","Friday"
"1624",3,"AM",2014-04-06,0.079,"kwh","Sunday"
"1625",8,"PM",2014-08-20,2.054,"kwh","Wednesday"
"1626",5,"PM",2014-06-18,2.036,"kwh","Wednesday"
"1627",1,"PM",2014-06-05,0.742,"kwh","Thursday"
"1628",11,"AM",2014-06-18,0.99,"kwh","Wednesday"
"1629",5,"PM",2014-06-28,1.912,"kwh","Saturday"
"1630",6,"AM",2014-07-18,2.592,"kwh","Friday"
"1631",9,"AM",2014-02-03,0.421,"kwh","Monday"
"1632",3,"PM",2014-09-24,0.297,"kwh","Wednesday"
"1633",12,"PM",2014-03-15,0.437,"kwh","Saturday"
"1634",12,"PM",2014-12-21,0.561,"kwh","Sunday"
"1635",7,"PM",2014-05-14,1.296,"kwh","Wednesday"
"1636",6,"AM",2014-09-12,0.731,"kwh","Friday"
"1637",7,"AM",2014-09-16,0.554,"kwh","Tuesday"
"1638",12,"AM",2014-06-30,0.497,"kwh","Monday"
"1639",12,"AM",2014-09-28,0.577,"kwh","Sunday"
"1640",3,"AM",2014-03-03,0.146,"kwh","Monday"
"1641",9,"AM",2014-08-02,1.134,"kwh","Saturday"
"1642",6,"PM",2014-01-10,3.08,"kwh","Friday"
"1643",1,"AM",2014-02-05,0.25,"kwh","Wednesday"
"1644",5,"PM",2014-12-16,1.616,"kwh","Tuesday"
"1645",2,"PM",2014-04-16,0.096,"kwh","Wednesday"
"1646",3,"AM",2014-02-03,0.23,"kwh","Monday"
"1647",2,"AM",2014-08-10,0.378,"kwh","Sunday"
"1648",4,"AM",2014-10-08,0.1,"kwh","Wednesday"
"1649",7,"PM",2014-04-11,0.432,"kwh","Friday"
"1650",6,"AM",2014-05-11,0.749,"kwh","Sunday"
"1651",2,"AM",2014-12-19,0.24,"kwh","Friday"
"1652",8,"AM",2014-02-10,0.523,"kwh","Monday"
"1653",2,"PM",2014-08-24,0.979,"kwh","Sunday"
"1654",6,"AM",2014-12-12,1.135,"kwh","Friday"
"1655",5,"AM",2014-09-23,0.678,"kwh","Tuesday"
"1656",4,"PM",2014-12-24,0.405,"kwh","Wednesday"
"1657",3,"AM",2014-03-15,0.202,"kwh","Saturday"
"1658",11,"AM",2014-03-10,0.412,"kwh","Monday"
"1659",4,"AM",2014-11-08,0.132,"kwh","Saturday"
"1660",4,"AM",2014-11-17,0.091,"kwh","Monday"
"1661",2,"AM",2014-10-07,0.107,"kwh","Tuesday"
"1662",1,"PM",2014-06-20,0.72,"kwh","Friday"
"1663",8,"AM",2014-04-14,0.103,"kwh","Monday"
"1664",10,"PM",2014-07-11,1.361,"kwh","Friday"
"1665",4,"PM",2014-02-21,0.538,"kwh","Friday"
"1666",7,"AM",2014-09-03,0.51,"kwh","Wednesday"
"1667",12,"PM",2014-06-21,0.864,"kwh","Saturday"
"1668",6,"PM",2014-06-18,2.696,"kwh","Wednesday"
"1669",10,"AM",2014-12-11,0.475,"kwh","Thursday"
"1670",9,"PM",2014-12-20,0.387,"kwh","Saturday"
"1671",1,"AM",2014-11-08,0.155,"kwh","Saturday"
"1672",8,"AM",2014-03-09,0.874,"kwh","Sunday"
"1673",4,"AM",2014-12-03,0.222,"kwh","Wednesday"
"1674",11,"AM",2014-11-17,0.209,"kwh","Monday"
"1675",12,"PM",2014-11-04,0.239,"kwh","Tuesday"
"1676",12,"PM",2014-10-03,0.336,"kwh","Friday"
"1677",8,"PM",2014-10-04,1.048,"kwh","Saturday"
"1678",12,"AM",2014-03-04,0.24,"kwh","Tuesday"
"1679",1,"AM",2014-10-18,0.198,"kwh","Saturday"
"1680",12,"AM",2014-06-29,1.642,"kwh","Sunday"
"1681",8,"AM",2014-04-01,0.12,"kwh","Tuesday"
"1682",1,"PM",2014-05-29,0.346,"kwh","Thursday"
"1683",9,"AM",2014-12-13,1.01,"kwh","Saturday"
"1684",1,"AM",2014-12-02,0.209,"kwh","Tuesday"
"1685",7,"PM",2014-01-31,3.708,"kwh","Friday"
"1686",12,"AM",2014-04-05,0.259,"kwh","Saturday"
"1687",5,"PM",2014-12-09,1.301,"kwh","Tuesday"
"1688",9,"PM",2014-05-13,0.451,"kwh","Tuesday"
"1689",6,"AM",2014-07-11,2.851,"kwh","Friday"
"1690",11,"PM",2014-05-10,0.808,"kwh","Saturday"
"1691",3,"PM",2014-08-27,0.408,"kwh","Wednesday"
"1692",1,"PM",2014-03-20,0.317,"kwh","Thursday"
"1693",6,"AM",2014-12-07,0.836,"kwh","Sunday"
"1694",6,"AM",2014-05-15,1.008,"kwh","Thursday"
"1695",10,"PM",2014-03-17,0.452,"kwh","Monday"
"1696",7,"AM",2014-12-03,0.881,"kwh","Wednesday"
"1697",7,"AM",2014-07-03,1.728,"kwh","Thursday"
"1698",8,"AM",2014-05-19,0.349,"kwh","Monday"
"1699",11,"AM",2014-07-14,1.128,"kwh","Monday"
"1700",1,"AM",2014-12-14,0.281,"kwh","Sunday"
"1701",2,"PM",2014-08-25,0.504,"kwh","Monday"
"1702",11,"AM",2014-05-29,0.368,"kwh","Thursday"
"1703",10,"AM",2014-12-04,0.409,"kwh","Thursday"
"1704",4,"AM",2014-12-20,0.33,"kwh","Saturday"
"1705",7,"PM",2014-07-04,4.234,"kwh","Friday"
"1706",1,"AM",2014-01-18,0.708,"kwh","Saturday"
"1707",6,"AM",2014-03-09,0.717,"kwh","Sunday"
"1708",3,"AM",2014-11-15,0.162,"kwh","Saturday"
"1709",6,"PM",2014-04-27,0.589,"kwh","Sunday"
"1710",11,"AM",2014-08-27,0.582,"kwh","Wednesday"
"1711",6,"AM",2014-02-12,1.368,"kwh","Wednesday"
"1712",10,"AM",2014-09-06,0.361,"kwh","Saturday"
"1713",7,"AM",2014-03-24,0.857,"kwh","Monday"
"1714",7,"AM",2014-02-04,1.069,"kwh","Tuesday"
"1715",1,"PM",2014-11-05,0.158,"kwh","Wednesday"
"1716",1,"PM",2014-12-16,0.414,"kwh","Tuesday"
"1717",11,"PM",2014-12-06,1.056,"kwh","Saturday"
"1718",5,"PM",2014-08-09,0.864,"kwh","Saturday"
"1719",3,"PM",2014-05-19,0.269,"kwh","Monday"
"1720",9,"AM",2014-10-08,0.151,"kwh","Wednesday"
"1721",6,"AM",2014-12-29,1.32,"kwh","Monday"
"1722",8,"AM",2014-05-04,0.936,"kwh","Sunday"
"1723",3,"AM",2014-08-16,0.342,"kwh","Saturday"
"1724",11,"PM",2014-11-01,0.509,"kwh","Saturday"
"1725",8,"PM",2014-09-04,1.344,"kwh","Thursday"
"1726",8,"AM",2014-01-15,0.912,"kwh","Wednesday"
"1727",5,"PM",2014-01-15,2.47,"kwh","Wednesday"
"1728",10,"AM",2014-10-07,0.238,"kwh","Tuesday"
"1729",1,"PM",2014-10-05,0.432,"kwh","Sunday"
"1730",4,"AM",2014-09-18,0.133,"kwh","Thursday"
"1731",12,"PM",2014-03-07,0.384,"kwh","Friday"
"1732",11,"AM",2014-12-06,0.772,"kwh","Saturday"
"1733",5,"PM",2014-01-20,2.548,"kwh","Monday"
"1734",6,"AM",2014-12-28,1.056,"kwh","Sunday"
"1735",11,"AM",2014-03-12,0.456,"kwh","Wednesday"
"1736",6,"AM",2014-07-16,3.139,"kwh","Wednesday"
"1737",5,"PM",2014-04-05,0.251,"kwh","Saturday"
"1738",6,"AM",2014-03-10,0.998,"kwh","Monday"
"1739",2,"PM",2014-07-11,0.883,"kwh","Friday"
"1740",7,"PM",2014-07-26,5.141,"kwh","Saturday"
"1741",8,"AM",2014-04-07,0.131,"kwh","Monday"
"1742",9,"AM",2014-12-11,0.327,"kwh","Thursday"
"1743",5,"AM",2014-12-27,0.287,"kwh","Saturday"
"1744",8,"AM",2014-12-22,0.475,"kwh","Monday"
"1745",8,"PM",2014-05-22,1.037,"kwh","Thursday"
"1746",10,"AM",2014-09-10,0.297,"kwh","Wednesday"
"1747",9,"PM",2014-03-17,0.523,"kwh","Monday"
"1748",7,"PM",2014-12-26,2.02,"kwh","Friday"
"1749",2,"AM",2014-04-11,0.061,"kwh","Friday"
"1750",11,"PM",2014-09-01,0.319,"kwh","Monday"
"1751",12,"PM",2014-07-13,1.44,"kwh","Sunday"
"1752",2,"AM",2014-12-07,0.34,"kwh","Sunday"
"1753",2,"AM",2014-04-05,0.106,"kwh","Saturday"
"1754",4,"AM",2014-05-26,0.168,"kwh","Monday"
"1755",10,"AM",2014-01-08,0.648,"kwh","Wednesday"
"1756",6,"PM",2014-03-31,1.344,"kwh","Monday"
"1757",2,"AM",2014-07-20,0.742,"kwh","Sunday"
"1758",12,"PM",2014-05-16,0.44,"kwh","Friday"
"1759",4,"AM",2014-05-17,0.233,"kwh","Saturday"
"1760",2,"PM",2014-02-01,1.008,"kwh","Saturday"
"1761",8,"AM",2014-03-21,0.31,"kwh","Friday"
"1762",11,"AM",2014-01-16,1.04,"kwh","Thursday"
"1763",3,"PM",2014-09-22,0.28,"kwh","Monday"
"1764",11,"PM",2014-11-14,0.423,"kwh","Friday"
"1765",8,"AM",2014-03-10,0.368,"kwh","Monday"
"1766",9,"AM",2014-04-09,0.077,"kwh","Wednesday"
"1767",8,"AM",2014-02-05,0.542,"kwh","Wednesday"
"1768",1,"PM",2014-03-31,0.314,"kwh","Monday"
"1769",12,"PM",2014-02-15,0.576,"kwh","Saturday"
"1770",8,"PM",2014-11-29,0.68,"kwh","Saturday"
"1771",7,"AM",2014-07-16,2.009,"kwh","Wednesday"
"1772",8,"PM",2014-07-29,3.955,"kwh","Tuesday"
"1773",12,"AM",2014-06-16,0.556,"kwh","Monday"
"1774",8,"AM",2014-05-23,0.374,"kwh","Friday"
"1775",4,"PM",2014-06-26,0.576,"kwh","Thursday"
"1776",9,"PM",2014-04-03,0.144,"kwh","Thursday"
"1777",3,"PM",2014-04-06,0.267,"kwh","Sunday"
"1778",7,"AM",2014-08-10,1.642,"kwh","Sunday"
"1779",10,"AM",2014-03-13,0.266,"kwh","Thursday"
"1780",4,"AM",2014-08-16,0.428,"kwh","Saturday"
"1781",8,"AM",2014-05-15,0.378,"kwh","Thursday"
"1782",4,"AM",2014-11-21,0.104,"kwh","Friday"
"1783",5,"PM",2014-07-18,3.307,"kwh","Friday"
"1784",10,"AM",2014-08-07,0.504,"kwh","Thursday"
"1785",2,"AM",2014-08-27,0.216,"kwh","Wednesday"
"1786",1,"AM",2014-05-19,0.179,"kwh","Monday"
"1787",9,"AM",2014-08-16,1.004,"kwh","Saturday"
"1788",11,"AM",2014-03-30,0.523,"kwh","Sunday"
"1789",8,"AM",2014-05-10,0.884,"kwh","Saturday"
"1790",6,"PM",2014-01-17,3.052,"kwh","Friday"
"1791",1,"PM",2014-06-15,1.199,"kwh","Sunday"
"1792",2,"PM",2014-01-02,0.88,"kwh","Thursday"
"1793",2,"AM",2014-04-22,0.071,"kwh","Tuesday"
"1794",2,"AM",2014-12-06,0.317,"kwh","Saturday"
"1795",2,"PM",2014-09-13,0.498,"kwh","Saturday"
"1796",2,"PM",2014-08-12,0.437,"kwh","Tuesday"
"1797",5,"AM",2014-09-04,0.662,"kwh","Thursday"
"1798",2,"AM",2014-12-16,0.194,"kwh","Tuesday"
"1799",4,"AM",2014-03-08,0.233,"kwh","Saturday"
"1800",12,"AM",2014-10-02,0.191,"kwh","Thursday"
"1801",5,"PM",2014-01-05,2.052,"kwh","Sunday"
"1802",5,"PM",2014-04-28,0.464,"kwh","Monday"
"1803",7,"AM",2014-12-30,0.851,"kwh","Tuesday"
"1804",1,"AM",2014-06-12,0.356,"kwh","Thursday"
"1805",3,"AM",2014-01-16,0.36,"kwh","Thursday"
"1806",4,"PM",2014-05-10,0.691,"kwh","Saturday"
"1807",11,"AM",2014-03-28,0.388,"kwh","Friday"
"1808",5,"PM",2014-07-30,3.401,"kwh","Wednesday"
"1809",5,"AM",2014-05-09,0.977,"kwh","Friday"
"1810",2,"AM",2014-09-07,0.179,"kwh","Sunday"
"1811",8,"PM",2014-04-16,0.446,"kwh","Wednesday"
"1812",10,"AM",2014-02-08,0.706,"kwh","Saturday"
"1813",6,"PM",2014-08-03,2.138,"kwh","Sunday"
"1814",3,"AM",2014-04-30,0.062,"kwh","Wednesday"
"1815",3,"PM",2014-08-21,0.403,"kwh","Thursday"
"1816",5,"AM",2014-01-01,2.354,"kwh","Wednesday"
"1817",12,"PM",2014-10-31,0.354,"kwh","Friday"
"1818",1,"AM",2014-09-12,0.141,"kwh","Friday"
"1819",4,"AM",2014-08-09,0.389,"kwh","Saturday"
"1820",5,"PM",2014-01-24,2.288,"kwh","Friday"
"1821",11,"AM",2014-11-18,0.25,"kwh","Tuesday"
"1822",9,"PM",2014-09-07,0.441,"kwh","Sunday"
"1823",10,"PM",2014-01-29,0.97,"kwh","Wednesday"
"1824",12,"PM",2014-01-27,1.02,"kwh","Monday"
"1825",7,"PM",2014-03-24,1.498,"kwh","Monday"
"1826",9,"AM",2014-07-23,0.727,"kwh","Wednesday"
"1827",1,"AM",2014-01-05,0.54,"kwh","Sunday"
"1828",7,"AM",2014-12-04,1.099,"kwh","Thursday"
"1829",8,"PM",2014-11-21,0.59,"kwh","Friday"
"1830",6,"PM",2014-09-07,1.386,"kwh","Sunday"
"1831",5,"PM",2014-11-04,0.527,"kwh","Tuesday"
"1832",3,"AM",2014-12-28,0.373,"kwh","Sunday"
"1833",10,"PM",2014-11-22,0.198,"kwh","Saturday"
"1834",9,"AM",2014-10-13,0.144,"kwh","Monday"
"1835",6,"AM",2014-11-04,0.491,"kwh","Tuesday"
"1836",11,"AM",2014-03-07,0.376,"kwh","Friday"
"1837",11,"PM",2014-11-21,0.477,"kwh","Friday"
"1838",8,"AM",2014-06-12,0.742,"kwh","Thursday"
"1839",5,"PM",2014-01-11,1.854,"kwh","Saturday"
"1840",2,"AM",2014-01-26,0.672,"kwh","Sunday"
"1841",6,"PM",2014-03-30,1.397,"kwh","Sunday"
"1842",1,"AM",2014-06-11,0.317,"kwh","Wednesday"
"1843",8,"PM",2014-03-07,1.485,"kwh","Friday"
"1844",4,"AM",2014-03-31,0.138,"kwh","Monday"
"1845",1,"AM",2014-05-10,0.233,"kwh","Saturday"
"1846",11,"AM",2014-05-17,0.571,"kwh","Saturday"
"1847",6,"PM",2014-07-14,3.192,"kwh","Monday"
"1848",5,"AM",2014-06-06,1.881,"kwh","Friday"
"1849",12,"PM",2014-04-01,0.159,"kwh","Tuesday"
"1850",11,"AM",2014-08-06,0.594,"kwh","Wednesday"
"1851",10,"PM",2014-06-10,0.981,"kwh","Tuesday"
"1852",12,"AM",2014-03-29,0.646,"kwh","Saturday"
"1853",4,"PM",2014-10-04,0.486,"kwh","Saturday"
"1854",8,"AM",2014-04-11,0.132,"kwh","Friday"
"1855",1,"PM",2014-09-27,0.42,"kwh","Saturday"
"1856",2,"AM",2014-09-29,0.168,"kwh","Monday"
"1857",8,"PM",2014-01-15,3.136,"kwh","Wednesday"
"1858",4,"AM",2014-04-26,0.087,"kwh","Saturday"
"1859",1,"AM",2014-07-06,0.77,"kwh","Sunday"
"1860",2,"AM",2014-08-22,0.238,"kwh","Friday"
"1861",10,"PM",2014-12-31,0.633,"kwh","Wednesday"
"1862",10,"AM",2014-04-20,0.185,"kwh","Sunday"
"1863",9,"AM",2014-07-26,2.354,"kwh","Saturday"
"1864",9,"AM",2014-02-16,0.972,"kwh","Sunday"
"1865",8,"PM",2014-02-17,2.15,"kwh","Monday"
"1866",8,"PM",2014-07-08,3.725,"kwh","Tuesday"
"1867",5,"PM",2014-11-25,0.515,"kwh","Tuesday"
"1868",9,"AM",2014-09-23,0.216,"kwh","Tuesday"
"1869",4,"PM",2014-06-28,1.636,"kwh","Saturday"
"1870",5,"AM",2014-03-09,0.218,"kwh","Sunday"
"1871",8,"AM",2014-02-16,1.685,"kwh","Sunday"
"1872",11,"PM",2014-04-29,0.164,"kwh","Tuesday"
"1873",6,"AM",2014-04-06,0.223,"kwh","Sunday"
"1874",2,"AM",2014-09-21,0.25,"kwh","Sunday"
"1875",6,"PM",2014-02-08,2.074,"kwh","Saturday"
"1876",5,"PM",2014-12-20,1.099,"kwh","Saturday"
"1877",9,"PM",2014-11-04,0.286,"kwh","Tuesday"
"1878",6,"AM",2014-05-26,0.826,"kwh","Monday"
"1879",9,"AM",2014-12-02,0.274,"kwh","Tuesday"
"1880",2,"AM",2014-11-26,0.087,"kwh","Wednesday"
"1881",2,"AM",2014-07-06,0.749,"kwh","Sunday"
"1882",5,"PM",2014-09-29,0.774,"kwh","Monday"
"1883",2,"PM",2014-08-14,0.542,"kwh","Thursday"
"1884",8,"AM",2014-05-01,0.272,"kwh","Thursday"
"1885",1,"AM",2014-01-02,0.472,"kwh","Thursday"
"1886",3,"AM",2014-12-07,0.33,"kwh","Sunday"
"1887",5,"AM",2014-04-29,0.353,"kwh","Tuesday"
"1888",9,"AM",2014-04-19,0.243,"kwh","Saturday"
"1889",7,"AM",2014-04-10,0.251,"kwh","Thursday"
"1890",12,"PM",2014-09-11,0.326,"kwh","Thursday"
"1891",5,"PM",2014-02-27,1.326,"kwh","Thursday"
"1892",1,"PM",2014-12-03,0.387,"kwh","Wednesday"
"1893",1,"AM",2014-12-10,0.178,"kwh","Wednesday"
"1894",5,"PM",2014-07-07,3.432,"kwh","Monday"
"1895",10,"PM",2014-01-11,0.944,"kwh","Saturday"
"1896",1,"PM",2014-02-16,0.857,"kwh","Sunday"
"1897",4,"AM",2014-12-30,0.264,"kwh","Tuesday"
"1898",8,"PM",2014-10-20,0.941,"kwh","Monday"
"1899",1,"AM",2014-05-02,0.131,"kwh","Friday"
"1900",6,"AM",2014-07-20,2.246,"kwh","Sunday"
"1901",10,"PM",2014-10-05,0.354,"kwh","Sunday"
"1902",7,"AM",2014-12-17,1.01,"kwh","Wednesday"
"1903",2,"AM",2014-08-19,0.25,"kwh","Tuesday"
"1904",4,"AM",2014-02-20,0.257,"kwh","Thursday"
"1905",10,"AM",2014-08-17,0.583,"kwh","Sunday"
"1906",12,"AM",2014-10-09,0.2,"kwh","Thursday"
"1907",11,"AM",2014-07-19,1.541,"kwh","Saturday"
"1908",1,"PM",2014-10-21,0.199,"kwh","Tuesday"
"1909",11,"AM",2014-04-21,0.167,"kwh","Monday"
"1910",8,"PM",2014-07-01,3.725,"kwh","Tuesday"
"1911",7,"AM",2014-11-30,0.578,"kwh","Sunday"
"1912",10,"AM",2014-01-28,0.96,"kwh","Tuesday"
"1913",11,"PM",2014-01-23,0.87,"kwh","Thursday"
"1914",4,"AM",2014-11-19,0.104,"kwh","Wednesday"
"1915",1,"PM",2014-09-18,0.288,"kwh","Thursday"
"1916",3,"AM",2014-11-27,0.089,"kwh","Thursday"
"1917",1,"AM",2014-02-11,0.271,"kwh","Tuesday"
"1918",2,"PM",2014-12-04,0.409,"kwh","Thursday"
"1919",10,"PM",2014-04-06,0.176,"kwh","Sunday"
"1920",6,"AM",2014-07-26,1.786,"kwh","Saturday"
"1921",7,"AM",2014-11-11,0.437,"kwh","Tuesday"
"1922",9,"PM",2014-10-30,0.428,"kwh","Thursday"
"1923",11,"AM",2014-04-05,0.198,"kwh","Saturday"
"1924",12,"PM",2014-01-26,1.404,"kwh","Sunday"
"1925",7,"PM",2014-01-02,4.14,"kwh","Thursday"
"1926",12,"AM",2014-10-31,0.169,"kwh","Friday"
"1927",11,"PM",2014-03-11,0.412,"kwh","Tuesday"
"1928",6,"AM",2014-08-25,1.555,"kwh","Monday"
"1929",1,"AM",2014-03-10,0.131,"kwh","Monday"
"1930",8,"AM",2014-04-22,0.13,"kwh","Tuesday"
"1931",4,"AM",2014-12-05,0.233,"kwh","Friday"
"1932",12,"PM",2014-12-18,0.495,"kwh","Thursday"
"1933",10,"PM",2014-09-15,0.301,"kwh","Monday"
"1934",8,"PM",2014-01-19,3.384,"kwh","Sunday"
"1935",3,"AM",2014-11-08,0.136,"kwh","Saturday"
"1936",2,"PM",2014-02-22,0.931,"kwh","Saturday"
"1937",9,"PM",2014-12-08,0.541,"kwh","Monday"
"1938",9,"PM",2014-11-30,0.281,"kwh","Sunday"
"1939",11,"PM",2014-11-07,0.374,"kwh","Friday"
"1940",4,"PM",2014-12-10,0.524,"kwh","Wednesday"
"1941",11,"PM",2014-09-28,0.361,"kwh","Sunday"
"1942",6,"PM",2014-05-20,1.288,"kwh","Tuesday"
"1943",3,"AM",2014-04-04,0.058,"kwh","Friday"
"1944",9,"PM",2014-05-23,0.317,"kwh","Friday"
"1945",10,"PM",2014-08-18,0.516,"kwh","Monday"
"1946",12,"AM",2014-05-24,0.672,"kwh","Saturday"
"1947",8,"AM",2014-08-03,1.607,"kwh","Sunday"
"1948",5,"AM",2014-10-13,0.686,"kwh","Monday"
"1949",7,"PM",2014-09-12,1.197,"kwh","Friday"
"1950",12,"AM",2014-12-15,0.294,"kwh","Monday"
"1951",4,"PM",2014-04-25,0.121,"kwh","Friday"
"1952",6,"AM",2014-07-24,2.448,"kwh","Thursday"
"1953",10,"AM",2014-08-09,0.677,"kwh","Saturday"
"1954",9,"AM",2014-04-22,0.077,"kwh","Tuesday"
"1955",6,"AM",2014-02-16,0.912,"kwh","Sunday"
"1956",9,"PM",2014-02-23,0.799,"kwh","Sunday"
"1957",10,"AM",2014-01-17,0.688,"kwh","Friday"
"1958",5,"AM",2014-02-14,1.505,"kwh","Friday"
"1959",5,"AM",2014-12-29,1.222,"kwh","Monday"
"1960",11,"AM",2014-11-29,0.227,"kwh","Saturday"
"1961",8,"AM",2014-01-06,0.808,"kwh","Monday"
"1962",10,"PM",2014-02-23,0.666,"kwh","Sunday"
"1963",4,"PM",2014-09-25,0.333,"kwh","Thursday"
"1964",2,"PM",2014-06-19,0.792,"kwh","Thursday"
"1965",1,"AM",2014-12-18,0.196,"kwh","Thursday"
"1966",5,"AM",2014-10-16,0.719,"kwh","Thursday"
"1967",6,"PM",2014-08-13,1.562,"kwh","Wednesday"
"1968",10,"PM",2014-03-20,0.424,"kwh","Thursday"
"1969",6,"AM",2014-01-31,2.448,"kwh","Friday"
"1970",10,"PM",2014-07-05,1.075,"kwh","Saturday"
"1971",5,"AM",2014-02-12,1.346,"kwh","Wednesday"
"1972",3,"PM",2014-01-11,1.926,"kwh","Saturday"
"1973",11,"AM",2014-10-29,0.357,"kwh","Wednesday"
"1974",3,"AM",2014-07-05,0.612,"kwh","Saturday"
"1975",4,"AM",2014-11-27,0.088,"kwh","Thursday"
"1976",5,"AM",2014-06-09,1.822,"kwh","Monday"
"1977",4,"PM",2014-01-30,0.728,"kwh","Thursday"
"1978",9,"PM",2014-07-28,1.555,"kwh","Monday"
"1979",7,"PM",2014-03-27,1.714,"kwh","Thursday"
"1980",10,"AM",2014-11-17,0.189,"kwh","Monday"
